x	y
21	-2
21	-3
20	-3
20	-2
20	-1
21	-1
21	-2
20	-2
20	-1
20	0
20	1
21	1
21	2
20	2
20	1
20	2
19	2
19	1
20	1
20	2
20	3
21	3
21	2
20	2
20	3
19	3
19	4
19	3
19	2
18	2
19	2
19	3
20	3
19	3
20	3
21	3
21	2
21	3
20	3
19	3
19	4
20	4
20	3
19	3
18	3
18	2
18	1
17	1
17	0
18	0
18	-1
19	-1
19	-2
19	-3
19	-2
19	-3
20	-3
19	-3
19	-4
18	-4
18	-5
19	-5
18	-5
18	-6
17	-6
17	-5
17	-6
16	-6
16	-7
15	-7
15	-8
16	-8
17	-8
16	-8
15	-8
15	-7
16	-7
16	-6
16	-7
15	-7
15	-8
15	-7
15	-8
15	-7
15	-8
15	-9
16	-9
16	-8
15	-8
15	-7
15	-8
15	-7
15	-6
15	-7
16	-7
17	-7
17	-8
18	-8
19	-8
19	-7
19	-8
19	-7
20	-7
20	-8
19	-8
20	-8
20	-7
21	-7
22	-7
22	-6
21	-6
21	-7
20	-7
20	-8
20	-9
20	-10
20	-11
20	-12
19	-12
20	-12
21	-12
21	-11
20	-11
19	-11
20	-11
20	-10
19	-10
18	-10
18	-9
19	-9
18	-9
18	-8
18	-7
18	-6
18	-5
18	-6
18	-5
18	-6
18	-7
18	-8
18	-9
17	-9
17	-10
18	-10
17	-10
18	-10
17	-10
16	-10
16	-9
16	-8
17	-8
17	-7
17	-8
17	-7
16	-7
16	-6
17	-6
18	-6
18	-5
18	-4
18	-3
17	-3
16	-3
15	-3
15	-2
16	-2
17	-2
16	-2
17	-2
18	-2
18	-3
18	-2
18	-3
18	-2
17	-2
16	-2
15	-2
15	-1
16	-1
16	-2
16	-3
15	-3
16	-3
15	-3
14	-3
14	-2
14	-3
14	-2
14	-3
13	-3
13	-4
13	-3
13	-4
13	-5
12	-5
11	-5
10	-5
11	-5
12	-5
13	-5
13	-4
13	-5
13	-4
12	-4
11	-4
11	-3
11	-2
11	-1
11	-2
11	-1
12	-1
12	-2
11	-2
12	-2
11	-2
11	-3
12	-3
13	-3
12	-3
12	-2
12	-1
12	0
12	1
11	1
12	1
13	1
12	1
12	2
11	2
11	3
10	3
11	3
12	3
12	4
12	5
11	5
10	5
9	5
8	5
8	4
8	5
8	6
8	7
9	7
10	7
10	8
9	8
9	7
9	6
8	6
8	5
8	4
7	4
6	4
5	4
4	4
4	5
5	5
6	5
6	6
5	6
5	5
5	4
5	5
5	4
4	4
4	3
3	3
3	4
3	3
4	3
4	2
3	2
2	2
2	3
1	3
2	3
2	4
2	5
3	5
3	6
2	6
2	5
2	6
1	6
0	6
